sentence,pretty,rotation,.thisRepN,.thisTrialN,.thisN,.thisIndex,response.resp,response.rt,uczestnik,sesja,płeć (M/F),date,expName,
Wojtek wydał nieczytalną powieść.,yes,60,0,0,0,2,nie podoba,0.40951852800208144,,001,,2019_sty_25_1607,Eksperyment testowy,
Jan lubi jeść jabłka.,yes,290,0,1,1,0,nie podoba,0.3155796979990555,,001,,2019_sty_25_1607,Eksperyment testowy,
Małgosia napluła w twarz Janowi.,no,45,0,2,2,1,podoba,0.13250442699791165,,001,,2019_sty_25_1607,Eksperyment testowy,
Wojtek wydał nieczytalną powieść.,yes,60,1,0,3,2,nie podoba,0.14929251099965768,,001,,2019_sty_25_1607,Eksperyment testowy,
Małgosia napluła w twarz Janowi.,no,45,1,1,4,1,podoba,0.34966130899920245,,001,,2019_sty_25_1607,Eksperyment testowy,
Jan lubi jeść jabłka.,yes,290,1,2,5,0,nie podoba,0.14989084599801572,,001,,2019_sty_25_1607,Eksperyment testowy,
Wojtek wydał nieczytalną powieść.,yes,60,2,0,6,2,podoba,0.3159532809986558,,001,,2019_sty_25_1607,Eksperyment testowy,
Małgosia napluła w twarz Janowi.,no,45,2,1,7,1,nie podoba,0.14946557799703442,,001,,2019_sty_25_1607,Eksperyment testowy,
Jan lubi jeść jabłka.,yes,290,2,2,8,0,nie podoba,0.2991526949990657,,001,,2019_sty_25_1607,Eksperyment testowy,
